Problem,Solution
forty minus eighty one,minus forty one
fifty three minus thirty eight,fifteen
seventy eight plus thirty seven,one hundred and fifteen
forty five plus seventy four,one hundred and nineteen
twenty divided by eighty six,zero point two three
twenty seven divided by fifty four,zero point five
four times seventy one,two hundred and eighty four
thirteen minus ninety eight,minus eighty five
seventy eight times fifty eight,four thousand five hundred and twenty four
fifty five divided by fifty seven,zero point nine six
seventy one times seven,four hundred and ninety seven
twelve plus one,thirteen
fifty three minus six,forty seven
thirty nine divided by twenty two,one point seven seven
eighty six divided by eighty six,one
twenty six minus fifty four,minus twenty eight
fifty nine plus twenty,seventy nine
ninety three times twenty three,two thousand one hundred and thirty nine
fifty divided by thirty seven,one point three five
three plus thirty,thirty three
sixteen times forty four,seven hundred and four
thirty one minus ninety one,minus sixty
eighty five plus fifty four,one hundred and thirty nine
fifty nine plus thirty one,ninety
fifty eight minus eighty four,minus twenty six
thirty five divided by ninety five,zero point three seven
two plus sixty two,sixty four
seventy seven plus fifty seven,one hundred and thirty four
seventy five times eighty seven,six thousand five hundred and twenty five
seventy nine plus forty four,one hundred and twenty three
thirty three divided by sixteen,two point zero six
seventeen divided by sixty seven,zero point two five
fifty seven times seventy six,four thousand three hundred and thirty two
forty five times forty eight,two thousand one hundred and sixty
eighty one divided by thirty six,two point two five
eighty five minus forty eight,thirty seven
fifteen minus eighty one,minus sixty six
forty seven times forty,one thousand eight hundred and eighty
seventy nine minus seven,seventy two
twenty seven divided by thirty one,zero point eight seven
ninety six plus eight,one hundred and four
sixty seven times two,one hundred and thirty four
fifty five times seventy one,three thousand nine hundred and five
thirteen minus seventy nine,minus sixty six
seventy five plus forty seven,one hundred and twenty two
sixty five plus forty eight,one hundred and thirteen
eighty two times ninety eight,eight thousand and thirty six
eighty seven times sixty nine,six thousand and three
one divided by forty nine,zero point zero two
eighty seven divided by twenty,four point three five
ninety four times thirty seven,three thousand four hundred and seventy eight
forty three plus sixty five,one hundred and eight
seventy nine times eighty six,six thousand seven hundred and ninety four
forty minus sixty two,minus twenty two
fourteen minus fifty three,minus thirty nine
ninety seven divided by eighty one,one point two
thirty three divided by fifteen,two point two
thirteen times sixty nine,eight hundred and ninety seven
seventy four times thirty six,two thousand six hundred and sixty four
ninety times sixty one,five thousand four hundred and ninety
sixty eight plus thirty nine,one hundred and seven
forty four divided by sixty nine,zero point six four
ten plus eighty nine,ninety nine
twenty five divided by thirty six,zero point six nine
twenty two divided by eighty two,zero point two seven
thirty two times twenty two,seven hundred and four
thirty nine plus twenty seven,sixty six
twenty eight plus ninety five,one hundred and twenty three
twenty six times seventy four,one thousand nine hundred and twenty four
fifty two plus fifty two,one hundred and four
seventy one times fifty seven,four thousand and forty seven
seventeen divided by seven,two point four three
forty two times forty,one thousand six hundred and eighty
eighty one divided by nineteen,four point two six
seventy four plus fifty nine,one hundred and thirty three
eighty three plus seventy three,one hundred and fifty six
thirty nine times ninety three,three thousand six hundred and twenty seven
forty six minus forty,six
eighty one times ninety three,seven thousand five hundred and thirty three
twenty one divided by seventy,zero point three
eighty seven times twenty two,one thousand nine hundred and fourteen
forty six minus eighty four,minus thirty eight
fourteen plus fifty two,sixty six
twenty divided by fifty five,zero point three six
thirty minus ninety six,minus sixty six
sixty five minus fifty seven,eight
seventy one divided by seventy seven,zero point nine two
thirty one times thirteen,four hundred and three
thirty four divided by thirty nine,zero point eight seven
fifty one divided by eighty six,zero point five nine
twenty divided by sixty five,zero point three one
forty five divided by fifty three,zero point eight five
ninety three plus twenty seven,one hundred and twenty
thirty one minus forty one,minus ten
fifty eight divided by sixty four,zero point nine one
fifty two plus twenty six,seventy eight
thirty seven plus forty four,eighty one
eighty one minus fifteen,sixty six
twenty three times fifty eight,one thousand three hundred and thirty four
ten divided by eighty three,zero point one two
fifty four times fifty seven,three thousand and seventy eight
sixty eight minus one hundred,minus thirty two
forty seven times seventy two,three thousand three hundred and eighty four
eighteen plus thirty two,fifty
sixteen plus twenty two,thirty eight
fifty eight minus eleven,forty seven
fourteen plus one,fifteen
forty seven divided by sixty five,zero point seven two
seventy one divided by fifty one,one point three nine
twenty eight times twenty one,five hundred and eighty eight
ten divided by thirty three,zero point three
ninety five divided by forty nine,one point nine four
ninety eight plus eighty eight,one hundred and eighty six
forty six times thirty two,one thousand four hundred and seventy two
thirty four divided by ninety five,zero point three six
fifty nine plus twenty six,eighty five
thirty four divided by sixty seven,zero point five one
two divided by thirty five,zero point zero six
nine times fifty nine,five hundred and thirty one
seventy seven minus fifty three,twenty four
eighty three divided by fifty two,one point six
ninety one plus forty eight,one hundred and thirty nine
seventy one times eighty eight,six thousand two hundred and forty eight
ninety eight minus forty,fifty eight
fourteen plus three,seventeen
forty three divided by forty,one point zero seven
sixty one times twenty two,one thousand three hundred and forty two
eighty six divided by eighty seven,zero point nine nine
sixty six times seventy five,four thousand nine hundred and fifty
fifty three divided by twenty five,two point one two
ninety three plus fifty eight,one hundred and fifty one
seventy seven times one,seventy seven
thirty minus ninety eight,minus sixty eight
sixteen times six,ninety six
fifty minus seventeen,thirty three
eighty eight times eighty six,seven thousand five hundred and sixty eight
six minus thirty three,minus twenty seven
fifteen plus one,sixteen
sixty nine times seventy eight,five thousand three hundred and eighty two
eighty two divided by ninety nine,zero point eight three
seventy five divided by sixty one,one point two three
fifty three divided by eighty nine,zero point six
seventy eight plus ninety three,one hundred and seventy one
seventy three times eight,five hundred and eighty four
fourteen times forty four,six hundred and sixteen
forty four times five,two hundred and twenty
seventy five times thirty eight,two thousand eight hundred and fifty
one times two,two
nineteen minus forty three,minus twenty four
